Unnamed: 0,datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude,year,sighting_date,km_delta,day_delta,cluster_key
2432,10/19/2001 20:45,phoenix,az,us,triangle,15,15 seconds,On Oct.19 2001&#44 Phoenix Az.I was sitting out side of the shop I work at and was having a cig. It was about 8:45pm&#44 I was waiting to,11/20/2001,33.4483333,-112.0733333,2001,2001-10-19,5,14,0
85,10/10/2001 22:00,phoenix,az,us,triangle,60,less then a minute,Triangle shaped craft spotted flying west to east over mid town Phoenix on 10/10/01 at 22:00 hours 4 light dim making no sounellow,11/20/2001,33.4483333,-112.0733333,2001,2001-10-10,5,1,0
5332,10/4/2008 20:00,seattle,wa,us,light,1,1 sec,Boeing Airfield,10/31/2008,47.6063889,-122.3308333,2008,2008-10-04,5,7,1
158,10/10/2008 20:00,seattle,wa,us,light,180,3 minutes,Around 8:00 pm? I Went out side and looked up at the stars and I saw a light which I thought was a small faded star  until it started t,10/31/2008,47.6063889,-122.3308333,2008,2008-10-10,5,1,1
6183,10/9/2011 20:00,middletown,ct,us,fireball,900,15 minutes,Orange Fireball Discs,10/19/2011,41.5622222,-72.6511111,2011,2011-10-09,5,1,2
63857,9/30/2011 20:30,middletown,ct,us,fireball,900.0,15 minutes,Spinning disc fireballs,10/19/2011,41.5622222,-72.6511111,2011,2011-09-30,5,14,2
197,10/10/2011 20:00,middletown,ct,us,fireball,1200,15-20 minutes,Fireball Spinning Orange UFO,10/19/2011,41.5622222,-72.6511111,2011,2011-10-10,5,1,2
6197,10/9/2012 17:35,san diego,ca,us,sphere,720,12 minutes,3 white lights with no collision lights heading north from San Diego within a 12 minute period,10/30/2012,32.7152778,-117.1563889,2012,2012-10-09,5,1,3
203,10/10/2012 18:56,san diego,ca,us,sphere,240,4 minutes,Single white light or craft passed over and very close to a commercial jet.  ((NUFORC Note:  Possibly the ISS?  PD)),10/30/2012,32.7152778,-117.1563889,2012,2012-10-10,5,1,3
63172,9/27/2001 22:00,denver,co,us,light,3600.0,1 hour,20+ lights seen individually&#44 very rapid speed&#44 abrupt direction changes&#44 no sounds&#44 multiple witnesses in Denver,10/12/2001,39.7391667,-104.9841667,2001,2001-09-27,5,14,4
271,10/11/2001 05:15,denver,co,us,light,900,15 minutes,Odd Lights in Colorado Sky,10/12/2001,39.7391667,-104.9841667,2001,2001-10-11,5,1,4
3194,10/22/2004 21:15,williamsville,ny,us,light,600,9-10 minutes,Four UFO&#39s sighted over WIlliamsville&#44 NY,10/27/2004,42.9638889,-78.7380556,2004,2004-10-22,5,14,5
298,10/11/2004 23:15,williamsville,ny,us,light,540,9 minutes,Hovering light seen over Williamsville&#44 NY,10/27/2004,42.9638889,-78.7380556,2004,2004-10-11,5,1,5
5301,10/4/2005 18:55,peoria,az,us,light,600,10 min,Amber lights near Tolleson&#44 AZ,10/11/2005,33.5805556,-112.2366667,2005,2005-10-04,5,7,6
302,10/11/2005 18:45,peoria,az,us,light,5400,90 minutes,Formation of amber lights over Tolleson&#44 AZ that flickered off and on for about 90 minutes.,10/20/2005,33.5805556,-112.2366667,2005,2005-10-11,5,1,6
5330,10/4/2008 19:00,riverside,ca,us,light,300,5 min,My wife pointed out 4 lights high up in the sky.,10/31/2008,33.9533333,-117.3952778,2008,2008-10-04,5,7,7
330,10/11/2008 19:00,riverside,ca,us,light,60,1 min approx,Bright light moving from NW to SE,10/31/2008,33.9533333,-117.3952778,2008,2008-10-11,5,1,7
6182,10/9/2011 19:42,new bedford,ma,us,circle,1680,28 minutes,We saw many orange fireballs fly over New Bedford&#44 MA.,12/12/2011,41.6361111,-70.9347222,2011,2011-10-09,5,3,8
356,10/11/2011 19:42,new bedford,ma,us,circle,1800,30-minutes,At least 25 orange and red fireballs fly over New Bedford&#44 MA&#44 USA,12/12/2011,41.6361111,-70.9347222,2011,2011-10-11,5,1,8
2572,10/19/2013 22:30,jupiter,fl,us,light,300,5 minutes,2 orange/yellow round lights traveling slowly one after the other from east to west until disappearing into the clouds.,10/23/2013,26.9338889,-80.0944444,2013,2013-10-19,5,14,9
388,10/11/2013 22:00,jupiter,fl,us,light,900,15 minutes,Groups of glowing orange objects moving randomly from east to west over Jupiter Inlet area at approximately 10:00 pm Oct 11&#44 2013.,10/14/2013,26.9338889,-80.0944444,2013,2013-10-11,5,1,9
61122,9/18/1998 21:30,del mar,ca,us,fireball,60.0,1 minute,This was like a green colored light&#44 like a star.  It was lower than any other aircraft would be.  It was decending&#44 in an easterly dir,11/1/1998,32.9594444,-117.2644444,1998,1998-09-18,5,14,10
539,10/1/1998 16:00,del mar,ca,us,fireball,4,4 seconds,Fireball streaked across the sky and fizzled out 5 miles inland,4/2/1999,32.9594444,-117.2644444,1998,1998-10-01,5,1,10
61317,9/19/2000 21:05,madera,ca,us,light,3600.0,over1 hour,this is not the frist time we saw this&#44 about a year we saw it for more there 30 min the next night we saw it for about 10-15min tonigh,9/21/2000,36.9613889,-120.0597222,2000,2000-09-19,5,14,11
556,10/1/2000 14:00,madera,ca,us,light,120,2 minutes,A bright oval shaped light flying faster than anything I had ever seen before.,8/30/2013,36.9613889,-120.0597222,2000,2000-10-01,5,1,11
63329,9/28/2002 21:00,new york city (staten island),ny,us,light,300.0,5 minutes,Last evening at exactly 8pm&#44 myself and my landlord witnessed a bright white light moving from a southeastern to northeastern direction,9/29/2002,40.7141667,-74.0063889,2002,2002-09-28,5,3,12
596,10/1/2002 19:50,new york city (staten island),ny,us,light,900,15 min&#39s,Patrolling fighter jet followed by bright green light &#33,10/15/2002,40.7141667,-74.0063889,2002,2002-10-01,5,1,12
63345,9/28/2003 22:00,bellevue,wa,us,light,5.0,couple hours,WE HAVE VIDEO TAPE OF IT&#33  ((NUFORC Note:  Probable &quot;twinkling&quot; stars&#44 we suspect.  PD)),10/7/2003,47.6105556,-122.1994444,2003,2003-09-28,5,3,13
606,10/1/2003 21:00,bellevue,wa,us,light,10,8-10 seconds,Star seen in Seattle moves east then quickly fades away&#44 no meteor trail.,10/7/2003,47.6105556,-122.1994444,2003,2003-10-01,5,1,13
63777,9/30/2005 23:00,tinley park,il,us,circle,900.0,10-15 minutes,Two  bright red objects move across sky west to east with no set speed or direction.,10/11/2005,41.5733333,-87.7844444,2005,2005-09-30,5,1,14
63784,9/30/2005 23:15,oak forest,il,us,circle,1200.0,20 minutes,two bright lights moving slowly from  west to east. bright red stars,10/11/2005,41.6027778,-87.7438889,2005,2005-09-30,5,1,14
